song_id,song_name,quality,audio_file_id,audio_file_unique_id,image_file_id,image_file_unique_id,album,artist,release_date,duration,download_url,image_url
ecO-wDhN,Kolluraale,320kbps,CQACAgUAAxkDAAICqWhWBnqfrEz6rK8m-AZ5n8yhW9eeAAKgFgACp_SwVpzGfgHsbcqeNgQ,AgADoBYAAqf0sFY,,,"{'id': '59984274', 'name': 'Maanavan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/maanavan-original-motion-picture-soundtrack/qZXRFywlbos_'}",,2024-11-27,250,https://aac.saavncdn.com/164/3f2dc63952e5c102d8a41e57cf264bef_320.mp4,
NIrQuoJd,Vintage Love,160kbps,CQACAgUAAxkDAAICrGhWBpFSkRlbVLGCXFzvOau5Gh_VAAKiFgACp_SwVsqh563fLFgcNgQ,AgADohYAAqf0sFY,AgACAgUAAxkDAAIBQWhVlscoqFBB5EpP6sES7dw-x-K9AALrwzEbp_SwVlySZvZ2jSS7AQADAgADeAADNgQ,AQAD68MxG6f0sFZ9,"{'id': '54007889', 'name': 'Star', 'url': 'https://www.jiosaavn.com/album/star/m5HsN4wiZfE_'}",,2024-05-04,207,https://aac.saavncdn.com/370/0bff00e0c949c18498828a6338c5fbb0_160.mp4,https://c.saavncdn.com/370/Star-Tamil-2024-20240503171716-500x500.jpg
NIrQuoJd,Vintage Love,320kbps,CQACAgUAAxkDAAICrWhWBqJLDbyczCTcHPMbxv86PnizAAKjFgACp_SwVhyaERIzug9gNgQ,AgADoxYAAqf0sFY,,,"{'id': '54007889', 'name': 'Star', 'url': 'https://www.jiosaavn.com/album/star/m5HsN4wiZfE_'}",,2024-05-04,207,https://aac.saavncdn.com/370/0bff00e0c949c18498828a6338c5fbb0_320.mp4,
4-Bc8Xpo,Ayalaa Ayalaa,160kbps,CQACAgUAAxkDAAICr2hWBrB3uiC1r9J_Hth8KIWsGuUlAAKkFgACp_SwVtKzZbIU4T4NNgQ,AgADpBYAAqf0sFY,AgACAgUAAxkDAAIBMWhVlm9sUBDAj3lKmnU5_tqm7b5WAALowzEbp_SwVjpms3aAtCzaAQADAgADeAADNgQ,AQAD6MMxG6f0sFZ9,"{'id': '51017600', 'name': 'Ayalaan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/ayalaan-original-motion-picture-soundtrack/9eIdUrdVbQU_'}",,2024-01-10,267,https://aac.saavncdn.com/452/fea6938b483496ad87dd9272a419561a_160.mp4,https://c.saavncdn.com/452/Ayalaan-Original-Motion-Picture-Soundtrack-Tamil-2024-20240110152813-500x500.jpg
4-Bc8Xpo,Ayalaa Ayalaa,320kbps,CQACAgUAAxkDAAICsGhWBry5kn9UcCtJy-H9qde8HZX5AAKlFgACp_SwVs0NLQvCEfoxNgQ,AgADpRYAAqf0sFY,,,"{'id': '51017600', 'name': 'Ayalaan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/ayalaan-original-motion-picture-soundtrack/9eIdUrdVbQU_'}",,2024-01-10,267,https://aac.saavncdn.com/452/fea6938b483496ad87dd9272a419561a_320.mp4,
XcxJsT62,Paaraa,160kbps,CQACAgUAAxkDAAICsmhWBshYZILvysaH4FJSlA7bGNeiAAKmFgACp_SwVhAPFaABGxjQNgQ,AgADphYAAqf0sFY,AgACAgUAAxkDAAIBK2hVlkDO_BqLJHEWsdbxp8CJezb9AALlwzEbp_SwViZWMF051mG8AQADAgADeAADNgQ,AQAD5cMxG6f0sFZ9,"{'id': '54862342', 'name': 'Indian 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/indian-2-original-motion-picture-soundtrack/9dCuHzz5XS0_'}",,2024-06-01,252,http://aac.saavncdn.com/736/75a98820c472a1dc5e5908d4a98fb358_160.mp4,https://c.saavncdn.com/736/Indian-2-Original-Motion-Picture-Soundtrack-Tamil-2024-20240611104646-500x500.jpg
XcxJsT62,Paaraa,320kbps,CQACAgUAAxkDAAICtGhWBub72BJhlnC9gD6HoY9RsLIpAAKoFgACp_SwVkYI76t9GNTZNgQ,AgADqBYAAqf0sFY,,,"{'id': '54862342', 'name': 'Indian 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/indian-2-original-motion-picture-soundtrack/9dCuHzz5XS0_'}",,2024-06-01,252,http://aac.saavncdn.com/736/75a98820c472a1dc5e5908d4a98fb358_320.mp4,
xhPOxeio,Netru Varai,160kbps,CQACAgUAAxkDAAICtmhWBvNS6L4bAVB8Jp7eBHRYnejwAAKpFgACp_SwVnzg3tQhu52DNgQ,AgADqRYAAqf0sFY,AgACAgUAAxkDAAIBT2hVlyMUuFXcmQz2fAlcdv93xRcbAALvwzEbp_SwVgOg824qGaSeAQADAgADeAADNgQ,AQAD78MxG6f0sFZ9,"{'id': '51715156', 'name': 'Siren', 'url': 'https://www.jiosaavn.com/album/siren/T,YEo2G3lJA_'}",,2024-02-08,274,http://aac.saavncdn.com/702/207203e4e7ba9eb0fadcc0df18c80f08_160.mp4,https://c.saavncdn.com/702/Siren-Tamil-2024-20240207195529-500x500.jpg
xhPOxeio,Netru Varai,320kbps,CQACAgUAAxkDAAICt2hWBwLc2OBDR_3X5aBtRuInj0DdAAKqFgACp_SwVjhVwhbmoD0vNgQ,AgADqhYAAqf0sFY,,,"{'id': '51715156', 'name': 'Siren', 'url': 'https://www.jiosaavn.com/album/siren/T,YEo2G3lJA_'}",,2024-02-08,274,http://aac.saavncdn.com/702/207203e4e7ba9eb0fadcc0df18c80f08_320.mp4,
_uooJSV4,Aasa Orave,160kbps,CQACAgUAAxkDAAICuWhWBw2SBBlpE9dL57fbGtGYOy00AAKrFgACp_SwVsQkkprJhBc3NgQ,AgADqxYAAqf0sFY,AgACAgUAAxkDAAIBL2hVlmJf1SmMir9LFFEKP42eJVffAALnwzEbp_SwVnIhHXmzCMzvAQADAgADeAADNgQ,AQAD58MxG6f0sFZ9,"{'id': '57520134', 'name': 'Lubber Pandhu', 'url': 'https://www.jiosaavn.com/album/lubber-pandhu/KOmId8S,rtc_'}",,2024-08-28,226,http://aac.saavncdn.com/230/3e8f470b7a1fc1b74c584e1212caa7ca_160.mp4,https://c.saavncdn.com/230/Lubber-Pandhu-Original-Motion-Picture-Soundtrack-Tamil-2024-20240828151816-500x500.jpg
_uooJSV4,Aasa Orave,320kbps,CQACAgUAAxkDAAICu2hWCvDnhaml-8tTkOSXT_CUEyirAAK8FgACp_SwVnOlbDLdcN2RNgQ,AgADvBYAAqf0sFY,,,"{'id': '57520134', 'name': 'Lubber Pandhu', 'url': 'https://www.jiosaavn.com/album/lubber-pandhu/KOmId8S,rtc_'}",,2024-08-28,226,http://aac.saavncdn.com/230/3e8f470b7a1fc1b74c584e1212caa7ca_320.mp4,
kPOhb1W3,Come Back Indian,160kbps,CQACAgUAAxkDAAICvWhWCv03j7OpN6IZD76k8HwZ1pk6AAK9FgACp_SwVnrIe803_OmWNgQ,AgADvRYAAqf0sFY,AgACAgUAAxkDAAIBK2hVlkDO_BqLJHEWsdbxp8CJezb9AALlwzEbp_SwViZWMF051mG8AQADAgADeAADNgQ,AQAD5cMxG6f0sFZ9,"{'id': '54862342', 'name': 'Indian 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/indian-2-original-motion-picture-soundtrack/9dCuHzz5XS0_'}",,2024-06-01,214,https://aac.saavncdn.com/736/1919e10452fa8eefefb865d3ce4c6230_160.mp4,https://c.saavncdn.com/736/Indian-2-Original-Motion-Picture-Soundtrack-Tamil-2024-20240611104646-500x500.jpg
kPOhb1W3,Come Back Indian,320kbps,CQACAgUAAxkDAAICvmhWCwv9rXLi74L6CgSzDvPkdpCiAAK-FgACp_SwVnYd0lnOYoeqNgQ,AgADvhYAAqf0sFY,,,"{'id': '54862342', 'name': 'Indian 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/indian-2-original-motion-picture-soundtrack/9dCuHzz5XS0_'}",,2024-06-01,214,https://aac.saavncdn.com/736/1919e10452fa8eefefb865d3ce4c6230_320.mp4,
HFbcUCzv,Suro Suro,160kbps,CQACAgUAAxkDAAICwWhWCyGSTJugFcUDVhBf909emcDcAALAFgACp_SwVuMyhFH2vrfONgQ,AgADwBYAAqf0sFY,AgACAgUAAxkDAAIBMWhVlm9sUBDAj3lKmnU5_tqm7b5WAALowzEbp_SwVjpms3aAtCzaAQADAgADeAADNgQ,AQAD6MMxG6f0sFZ9,"{'id': '51017600', 'name': 'Ayalaan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/ayalaan-original-motion-picture-soundtrack/9eIdUrdVbQU_'}",,2024-01-10,235,http://aac.saavncdn.com/452/39ef58620f7948ac50a5e9a5749374cf_160.mp4,https://c.saavncdn.com/452/Ayalaan-Original-Motion-Picture-Soundtrack-Tamil-2024-20240110152813-500x500.jpg
HFbcUCzv,Suro Suro,320kbps,CQACAgUAAxkDAAICwmhWCzFdumRCCyXBsNCTouPzSc58AALBFgACp_SwVhngvzNNNR28NgQ,AgADwRYAAqf0sFY,,,"{'id': '51017600', 'name': 'Ayalaan (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/ayalaan-original-motion-picture-soundtrack/9eIdUrdVbQU_'}",,2024-01-10,235,http://aac.saavncdn.com/452/39ef58620f7948ac50a5e9a5749374cf_320.mp4,
BVjan6oi,Hey Minnale,160kbps,CQACAgUAAxkDAAICxGhWCzynz4f5AcsT1OFN8QmD6cQ4AALCFgACp_SwVgZbvE7_OcjNNgQ,AgADwhYAAqf0sFY,AgACAgUAAxkDAAIBV2hVl10fVHH6Mq_1Nw9RBbQcd0I2AALwwzEbp_SwVpwOsu7jynW4AQADAgADeAADNgQ,AQAD8MMxG6f0sFZ9,"{'id': '59686460', 'name': 'Amaran (Tamil)', 'url': 'https://www.jiosaavn.com/album/amaran-tamil/1UAPmdKIIrw_'}",,2024-11-16,229,http://aac.saavncdn.com/872/d9f7fc1e9eccbcc9f9809e6791fd33ff_160.mp4,https://c.saavncdn.com/872/Amaran-Tamil-Tamil-2024-20241119174100-500x500.jpg
BVjan6oi,Hey Minnale,320kbps,CQACAgUAAxkDAAICxWhWC0-B30vflHb_duccI92oZF11AALDFgACp_SwVpydz6rnwzVNNgQ,AgADwxYAAqf0sFY,,,"{'id': '59686460', 'name': 'Amaran (Tamil)', 'url': 'https://www.jiosaavn.com/album/amaran-tamil/1UAPmdKIIrw_'}",,2024-11-16,229,http://aac.saavncdn.com/872/d9f7fc1e9eccbcc9f9809e6791fd33ff_320.mp4,
GUURlhr1,Aasa Kooda,160kbps,CQACAgUAAxkDAAICx2hWC1xfSLZTJ40PPOXqlWSqTBchAALEFgACp_SwVs40cOf2LS1yNgQ,AgADxBYAAqf0sFY,AgACAgUAAxkDAAIBWWhVl3JRT4_ZGzC23T1rqVopZt8RAALxwzEbp_SwVnYEXqfoi52hAQADAgADeAADNgQ,AQAD8cMxG6f0sFZ9,"{'id': '55191928', 'name': 'Aasa Kooda from Think Indie', 'url': 'https://www.jiosaavn.com/album/aasa-kooda-from-think-indie/s5dKWOyTaLE_'}",,2024-06-13,215,http://aac.saavncdn.com/772/0f247ca9b767aa3a108c4c0ddcc93ac1_160.mp4,https://c.saavncdn.com/772/Aasa-Kooda-from-Think-Indie-Tamil-2024-20241209235403-500x500.jpg
